step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,370.87338852882385,494.4301102603101,5,0.0
12000,789,799.4313728809357,16663.312086209342,5,0.0
18000,789,1307.935806465149,4307.092869112915,5,0.0
24000,789,1302.149648332596,1077.4073938895253,5,0.0
30000,789,1537.5699576854706,24741.761809361058,5,0.0
36000,789,1464.7742028713226,4781.461114104962,5,0.0
42000,789,1465.887581205368,10361.069405560558,5,0.0
48000,789,1445.7296027183534,13191.550262426665,5,0.0
54000,789,1253.2278678894043,84369.82646717105,5,0.0
60000,789,1267.9379938602447,18017.66194893361,5,0.0
66000,789,1513.614625120163,6184.906269500062,5,0.0
72000,789,1268.8216152667999,86677.42623912766,5,0.0
78000,789,1616.849099111557,2873.7709927596543,5,0.0
84000,789,1515.203532743454,3453.921335772467,5,0.0
90000,789,1500.3617722988129,10670.113241679,5,0.0
96000,789,1575.9835586547852,8986.512981742619,5,0.0
102000,789,1621.3098718166352,2950.8852317216943,5,0.0
108000,789,1616.0581436157227,8665.982037797348,5,0.0
114000,789,1645.627993774414,2146.793861732527,5,0.0
120000,789,1546.3955626964569,4886.7075641212505,5,0.0
126000,789,1620.053396844864,372.3502933602619,5,0.0
132000,789,1577.9582174301147,871.7550053063919,5,0.0
138000,789,1613.9605532646178,2745.124868651866,5,0.0
144000,789,1645.4134881973266,9980.532477967192,5,0.0
