step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,2024,120.84458899497986,160.19439128756034,5,0.0
12000,2024,96.91645136475563,497.7864952767597,5,0.0
18000,2024,128.60605261325836,288.22029549086994,5,0.0
24000,2024,114.85254969596863,407.60281766779326,5,0.0
30000,2024,124.76548212766647,188.72498969541692,5,0.0
36000,2024,116.56112313270569,1346.7897809860751,5,0.0
42000,2024,160.08803136348723,1732.9709341897906,5,0.0
48000,2024,175.0715196251869,2118.400023647004,5,0.0
54000,2024,370.5781572461128,216265.25713052283,5,0.2
60000,2024,450.372191298008,195371.47419868014,5,0.4
66000,2024,148.84399458169938,8908.454217544017,5,0.2
72000,2024,886.6194135665894,881041.3611808034,5,0.6000000000000001
78000,2024,864.8834449291229,1069991.3336818276,5,0.4
84000,2024,1568.8179675340652,676237.5359714223,5,0.8
90000,2024,1375.8076232135295,896838.5242882962,5,0.8
96000,2024,1862.5297154068946,166712.16990140034,5,1.0
102000,2024,1357.1789823532104,576101.0557082813,5,0.8
108000,2024,740.4813011407853,341305.38927692955,5,0.6000000000000001
114000,2024,1030.563252300024,592405.8311229564,5,0.8
120000,2024,2032.7048454642295,108260.72152572677,5,1.0
126000,2024,1240.0260055243969,993664.1932709806,5,0.6000000000000001
132000,2024,2090.2952589213846,127429.67837171,5,1.0
138000,2024,1412.971967291832,1321350.5104552854,5,0.6000000000000001
144000,2024,1340.4375476717948,1175819.0279075098,5,0.6000000000000001
