step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,113.80525085926055,651.0383863491269,5,0.0
12000,789,117.5867272913456,2023.8963458034264,5,0.0
18000,789,139.21908727884292,1845.8977185030026,5,0.0
24000,789,220.66698277592658,27525.006138690384,5,0.4
30000,789,364.6719390273094,62746.50430784332,5,0.2
36000,789,507.9171781420708,104513.26298717753,5,0.6000000000000001
42000,789,235.18630130290984,17302.856923024676,5,0.2
48000,789,523.7014083385468,281265.52759036917,5,0.4
54000,789,158.81326582431794,914.5339800247615,5,0.0
60000,789,559.2777496099473,574137.62797803,5,0.2
66000,789,516.1695674777031,618056.1364671816,5,0.2
72000,789,589.4330500245094,419376.9687216522,5,0.4
78000,789,946.3961130201817,1364004.5565377066,5,0.4
84000,789,597.7848553419113,429844.34506217594,5,0.4
90000,789,1016.013756287098,965477.0501286901,5,0.6000000000000001
96000,789,680.6523742079735,604786.6475411345,5,0.6000000000000001
102000,789,1217.7354135632515,445042.86779203295,5,0.6000000000000001
108000,789,807.6701567769051,584705.4637386886,5,0.6000000000000001
114000,789,797.3860060572624,359913.6067528087,5,0.6000000000000001
120000,789,1958.22079474926,496300.5562713972,5,0.8
126000,789,1435.7262315630912,139312.23837973457,5,0.8
132000,789,1399.3520896196364,800370.2017213509,5,0.6000000000000001
138000,789,1021.2853213131427,671677.5519842892,5,0.6000000000000001
144000,789,1759.2798441648483,348851.4473122738,5,1.0
