step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,132.5460851341486,8.49734631874272,120.19435787200928,140.8595691025257,0.0,0.0,0.0,0.0
12000,5,113.79915459603072,26.546787330704337,85.35332088172436,149.80781370401382,0.0,0.0,0.0,0.0
18000,5,187.207825858891,113.02078100479986,94.4998659864068,384.3478836119175,0.08,0.17888543819998318,0.0,0.4
24000,5,157.88648199290037,74.11658104189983,86.52458608150482,260.3883725553751,0.08,0.17888543819998318,0.0,0.4
30000,5,174.77032648772,138.51174598690858,64.79063712060452,411.8988474905491,0.04,0.08944271909999159,0.0,0.2
36000,5,367.0843219518662,318.7594293364857,110.12254643440247,817.2761379629374,0.24000000000000005,0.32863353450309973,0.0,0.6000000000000001
42000,5,383.45151979327204,216.2834506232736,114.15063437819481,691.4494348168373,0.24,0.16733200530681513,0.0,0.4
48000,5,766.7603589370847,504.2752078194796,291.45886938273907,1344.2113616019487,0.4,0.316227766016838,0.0,0.8
54000,5,562.2564291059971,618.848684133423,118.17718769609928,1527.7755915522575,0.27999999999999997,0.4381780460041329,0.0,1.0
60000,5,409.8160372003913,204.87235137261743,165.16104689240456,657.9835049062967,0.24,0.16733200530681513,0.0,0.4
66000,5,675.2020989760756,256.9886058268141,397.8221604824066,1072.1570921987295,0.32,0.1788854381999832,0.2,0.6000000000000001
72000,5,952.870369631052,472.6061124061677,343.90387707948685,1434.701575025916,0.56,0.3286335345030997,0.2,1.0
78000,5,1382.4146158799529,753.4504615388925,172.0322958379984,1974.4242239743471,0.64,0.433589667773576,0.0,1.0
84000,5,1457.4611059308052,563.371469511816,719.2957813739777,2265.8216367810965,0.72,0.22803508501982758,0.4,1.0
90000,5,1428.9046491384506,586.212494343264,694.316338121891,2072.348026126623,0.68,0.22803508501982758,0.4,1.0
96000,5,799.9975746259094,308.52427100757717,298.21621181070805,1138.5499957799911,0.48,0.1788854381999832,0.2,0.6000000000000001
102000,5,1172.6939341709017,594.9592372992197,437.87892309576273,1914.6986653357744,0.5599999999999999,0.16733200530681513,0.4,0.8
108000,5,1356.311853802204,379.8237328562784,967.8370319157839,1766.8874917179346,0.68,0.22803508501982758,0.4,1.0
114000,5,1601.9303506702186,652.7652064880597,862.7497821748257,2320.5544118881226,0.7600000000000001,0.16733200530681508,0.6000000000000001,1.0
120000,5,1499.104429116845,634.1902250306105,659.0498787164688,2180.233745649457,0.6,0.28284271247461906,0.2,0.8
126000,5,1418.6231898590922,790.8672162212478,199.05410294234753,2128.89362514019,0.6,0.4,0.0,1.0
132000,5,1678.4533449620008,554.7568396426516,967.0901462882757,2355.3576490730047,0.76,0.16733200530681508,0.6000000000000001,1.0
138000,5,1431.3274106934666,515.9620129327702,933.2996243834496,2176.667827144265,0.68,0.17888543819998312,0.6000000000000001,1.0
144000,5,1785.4989213466645,375.74420661750037,1197.8752048164606,2211.5321353524923,0.8400000000000001,0.21908902300206642,0.6000000000000001,1.0
