step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,0,127.2533324420452,1431.6710463818313,5,0.0
12000,0,84.50975179672241,163.4777104932856,5,0.0
18000,0,121.28172591924667,1996.3037452019096,5,0.0
24000,0,154.64584057331086,729.4918335670163,5,0.0
30000,0,158.3784089207649,154.8352220929877,5,0.0
36000,0,152.04424501657485,475.4098877853996,5,0.0
42000,0,154.14315462112427,573.1706196237199,5,0.0
48000,0,270.9013481914997,57374.15773619578,5,0.0
54000,0,117.93204765319824,1049.2693547024883,5,0.0
60000,0,244.87016839981078,10160.167665013845,5,0.0
66000,0,378.2947911977768,90700.59517252004,5,0.2
72000,0,162.09713309407235,219.79727470773068,5,0.0
78000,0,217.12834936380386,14319.422123224876,5,0.0
84000,0,166.79671882390977,966.7338146324402,5,0.0
90000,0,233.89140658378602,40643.99136634054,5,0.2
96000,0,371.83379341363906,194332.98140707862,5,0.2
102000,0,277.5381138563156,67173.63268664127,5,0.4
108000,0,146.8178606390953,640.904688310068,5,0.0
114000,0,206.5836392045021,3013.4881633483924,5,0.0
120000,0,719.8460847020149,154932.3214465255,5,0.8
126000,0,329.4055750966072,81948.41882490244,5,0.4
132000,0,135.3722234249115,107.07064649442297,5,0.0
138000,0,810.5700332462787,610856.1425280691,5,0.4
144000,0,706.9341614723205,256955.7596744462,5,0.6000000000000001
