step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,127.19594191193578,15.015010803007948,116.1581296801567,152.94877935647963,0.0,0.0,0.0,0.0
12000,5,100.76861019134522,17.908239651147074,80.9425963640213,124.09138573408127,0.0,0.0,0.0,0.0
18000,5,107.73816383838653,24.546006859105663,82.86680710315704,143.44501749277114,0.0,0.0,0.0,0.0
24000,5,198.74764184951783,121.78511868697174,133.8787260890007,415.8339406847954,0.08,0.17888543819998318,0.0,0.4
30000,5,240.65030386447907,177.7710445059825,142.5877391219139,556.1283559918404,0.08,0.17888543819998318,0.0,0.4
36000,5,412.53432598233223,400.4518882614352,148.2503939807415,1067.7225683033466,0.27999999999999997,0.43817804600413285,0.0,1.0
42000,5,194.49426439285278,91.32648255585637,115.59310709238052,351.0732249736786,0.08,0.17888543819998318,0.0,0.4
48000,5,405.42056682825086,380.8968604518246,144.85965139865874,1067.3228529572486,0.12000000000000002,0.1788854381999832,0.0,0.4
54000,5,527.255818336606,555.5043420016198,117.93204765319824,1344.9008408546447,0.32,0.4381780460041329,0.0,0.8
60000,5,753.0247215580939,581.1619557684979,244.87016839981078,1632.1782932281494,0.4800000000000001,0.4147288270665544,0.0,1.0
66000,5,669.9837056839466,664.9671177580082,263.8866985201836,1853.2617908477782,0.39999999999999997,0.34641016151377546,0.2,1.0
72000,5,460.6800915563107,244.4456183594085,162.09713309407235,818.2700309872628,0.27999999999999997,0.30331501776206204,0.0,0.8
78000,5,871.7192535924912,689.8267881732112,217.12834936380386,1688.4636331796646,0.48,0.33466401061363027,0.0,0.8
84000,5,885.515538098812,671.5975314867786,166.79671882390977,1666.8200012803077,0.5200000000000001,0.3898717737923586,0.0,0.8
90000,5,627.3209860360623,425.34006317722015,233.89140658378602,1216.1848435342313,0.44000000000000006,0.260768096208106,0.2,0.8
96000,5,843.7293753826618,615.7007915908273,155.15109980106354,1692.0376539945603,0.52,0.41472882706655445,0.0,1.0
102000,5,1093.6019997072221,803.0085087014664,277.5381138563156,2218.9883453130724,0.6,0.31622776601683794,0.2,1.0
108000,5,818.2413524830341,656.5057422820734,146.8178606390953,1611.0451396107674,0.4,0.4,0.0,0.8
114000,5,961.7783285546302,752.9766156995431,206.5836392045021,1893.3321522176266,0.4800000000000001,0.4604345773288535,0.0,1.0
120000,5,1129.4189850497246,664.9370701873373,280.36222207546234,1981.6979766964912,0.68,0.363318042491699,0.2,1.0
126000,5,1154.1936060225962,673.210709053021,329.4055750966072,1854.4737984061242,0.6799999999999999,0.2683281572999748,0.4,1.0
132000,5,1012.0637694478035,1012.8077368817628,135.3722234249115,2297.5126214265824,0.44000000000000006,0.433589667773576,0.0,1.0
138000,5,1254.8258583140373,694.6704313430398,769.600434666872,2408.7416586399077,0.6799999999999999,0.30331501776206204,0.4,1.0
144000,5,1144.8133790946008,809.3931388849054,384.86586488485335,2182.3521335721016,0.64,0.2607680962081059,0.4,1.0
