step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,2024,120.17773516476154,121.38460085490449,4,100.07970774173737,0.0
12000,2024,115.23261608183384,631.2303921472893,4,75.19654643535614,0.0
18000,2024,110.28376577049494,618.9189165199181,4,57.781409740448,0.0
24000,2024,139.30696055293083,251.49090372145767,4,115.90183746814728,0.0
30000,2024,150.6799661666155,199.30771067219652,4,131.9559428691864,0.0
36000,2024,169.0953351855278,140.93785715331998,4,152.16460621356964,0.0
42000,2024,202.1203142106533,3470.7452665288874,4,131.38670098781586,0.0
48000,2024,173.22026659548283,121.16558746953963,4,159.34511518478394,0.0
54000,2024,177.5526224821806,921.594055025609,4,151.99433720111847,0.0
60000,2024,296.2741297632456,65309.25487577502,4,122.61838614940643,0.2
66000,2024,305.9412943869829,88278.91357139469,4,95.66831505298615,0.2
72000,2024,360.86512580513954,23279.062560657225,4,172.86786687374115,0.2
78000,2024,387.4899256080389,89124.32158755457,4,84.49441993236542,0.4
84000,2024,407.7850089073181,276400.55153436516,4,91.23391836881638,0.2
90000,2024,317.001419685781,96718.80692725019,4,63.62886020541191,0.2
96000,2024,159.90746042132378,67.42174547645755,4,136.12565732002258,0.0
102000,2024,423.17377933859825,313452.0885192258,4,109.91000205278397,0.2
108000,2024,269.2488480657339,43147.08775421378,4,125.13962078094482,0.0
114000,2024,390.4025560170412,121669.4391202536,4,64.57115986943245,0.0
120000,2024,315.4375420808792,89157.70591737355,4,140.06094205379486,0.2
126000,2024,669.0342965722084,494596.5979100953,4,140.9583106637001,0.4
132000,2024,253.46786738932133,18204.414475759975,4,147.1560986340046,0.2
138000,2024,936.7812368124723,400400.17304395745,4,100.87722608447075,0.6000000000000001
144000,2024,456.63020364940166,112807.56317706053,4,97.80850982666016,0.4
