step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,368.537266856432,41.088520954837186,313.47398310899734,425.3056493997574,0.0,0.0,0.0,0.0
12000,5,842.9007963776588,192.6626852464222,646.6662397384644,1103.5642018318176,0.0,0.0,0.0,0.0
18000,5,1211.3336333036423,192.40657834642343,882.3457551002502,1335.9912303686142,0.0,0.0,0.0,0.0
24000,5,1409.4036198735237,73.26640431962433,1316.3002626299858,1481.2276533842087,0.0,0.0,0.0,0.0
30000,5,1470.6045400381088,134.93037033195765,1303.4061763882637,1627.6882670521736,0.0,0.0,0.0,0.0
36000,5,1461.97414662838,107.89600653464231,1361.5516864657402,1637.1868762373924,0.0,0.0,0.0,0.0
42000,5,1390.1256293773652,189.07241634718866,1068.1638518571854,1559.617059648037,0.0,0.0,0.0,0.0
48000,5,1482.9155984163285,106.47656550369884,1398.6406782865524,1668.1327570080757,0.0,0.0,0.0,0.0
54000,5,1474.2465077877046,138.83455949407625,1344.8193590044975,1702.395967245102,0.0,0.0,0.0,0.0
60000,5,1451.2723098516465,219.0919127856301,1230.6414067745209,1765.551009118557,0.0,0.0,0.0,0.0
66000,5,1523.5096134781838,78.28329458002419,1459.4875458478928,1655.6356020569801,0.0,0.0,0.0,0.0
72000,5,1497.4241126418115,154.9933442659562,1387.731461584568,1767.4993197321892,0.04,0.08944271909999159,0.0,0.2
78000,5,1700.325484251976,316.20994214854926,1382.3711188435555,2230.3207936286926,0.04,0.08944271909999159,0.0,0.2
84000,5,1693.3226692318917,413.1167920999298,1204.6231662034988,2337.242390036583,0.0,0.0,0.0,0.0
90000,5,1727.849932575226,330.4443800926632,1431.3365387320518,2273.5941568613052,0.2,0.28284271247461906,0.0,0.6000000000000001
96000,5,1802.8931550621987,312.721376368715,1494.1043918728828,2295.1810384988785,0.2,0.28284271247461906,0.0,0.6000000000000001
102000,5,1907.3844619512558,502.6297961051886,1354.4419792294502,2689.05758780241,0.24,0.433589667773576,0.0,1.0
108000,5,1856.1087561368943,417.1874877986199,1421.3721710443497,2511.9664582014084,0.32,0.43817804600413296,0.0,0.8
114000,5,1988.7875971794128,412.6973231564718,1474.6778137087822,2465.3819804787636,0.44000000000000006,0.5176871642217914,0.0,1.0
120000,5,1950.4693560242654,424.7523577931527,1506.4382180571556,2479.8035697340965,0.4,0.5477225575051662,0.0,1.0
126000,5,1865.2995069146157,486.07863080128834,1480.3861755728722,2577.9674848914146,0.2,0.44721359549995804,0.0,1.0
132000,5,1959.323333466053,460.9900227918147,1417.3011041879654,2561.1507583260536,0.44000000000000006,0.5176871642217914,0.0,1.0
138000,5,1833.5247754454613,370.9758894701301,1481.2906849384308,2450.0719279050827,0.36,0.4979959839195493,0.0,1.0
144000,5,1955.665088224411,407.71829942422943,1481.7999123334885,2552.388490974903,0.4,0.469041575982343,0.0,1.0
