step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,380.6826037287712,61.127859799994205,308.008271753788,440.42476719617844,0.0,0.0,0.0,0.0
12000,5,650.9691541075706,443.4354173888236,232.25312027335167,1255.6552621126175,0.0,0.0,0.0,0.0
18000,5,829.4979659676552,331.6687868766293,491.1394094526768,1256.4610269665718,0.0,0.0,0.0,0.0
24000,5,1185.4506794273852,414.2470284802187,481.9995134174824,1525.2321417927742,0.0,0.0,0.0,0.0
30000,5,1334.586152279377,138.83821415523747,1182.0196698904037,1490.9889261126518,0.0,0.0,0.0,0.0
36000,5,1548.9245348215104,289.8671215527578,1357.4527336359024,2047.4897802472115,0.16,0.35777087639996635,0.0,0.8
42000,5,1534.585040652752,139.1971391063676,1437.258798778057,1780.6283152103424,0.08,0.17888543819998318,0.0,0.4
48000,5,1537.1357174873351,178.34095412320386,1416.2180098891258,1849.9630128145218,0.04,0.08944271909999159,0.0,0.2
54000,5,1630.8895670771599,370.28559192399155,1387.10424721241,2286.3655101656914,0.16,0.35777087639996635,0.0,0.8
60000,5,1298.082044994831,396.8665667264315,602.1539773344994,1552.671823978424,0.0,0.0,0.0,0.0
66000,5,1521.0658861160277,146.36909776229058,1420.6793047189713,1773.6512268781662,0.12000000000000002,0.2683281572999748,0.0,0.6000000000000001
72000,5,1658.032566821575,397.89712145602766,1467.6512246131897,2369.161863088608,0.12000000000000002,0.2683281572999748,0.0,0.6000000000000001
78000,5,1713.7078306674957,496.1749045903844,1448.0573976039886,2599.370519578457,0.2,0.447213595499958,0.0,1.0
84000,5,1705.9817681193351,468.03923820680814,1459.7906329631805,2542.0479688048363,0.2,0.447213595499958,0.0,1.0
90000,5,1719.8575835585593,502.4835839935031,1463.8490981459618,2617.4693910479546,0.2,0.447213595499958,0.0,1.0
96000,5,1665.2825663924218,458.9259351885599,1390.9897812604904,2478.393182039261,0.2,0.447213595499958,0.0,1.0
102000,5,1668.6889565229417,413.69127250394797,1441.525946676731,2406.3452512025833,0.2,0.447213595499958,0.0,1.0
108000,5,1551.3413808345795,626.514484235481,1106.8111609220505,2628.765394449234,0.2,0.447213595499958,0.0,1.0
114000,5,1721.2135822057724,443.13067749348573,1442.5915867686272,2483.930840611458,0.2,0.447213595499958,0.0,1.0
120000,5,1795.4627225160598,453.5227280821736,1519.2756737470627,2599.578780591488,0.24,0.433589667773576,0.0,1.0
126000,5,1810.008899617195,463.7333086127629,1493.7703394293785,2607.2097395658493,0.27999999999999997,0.43817804600413285,0.0,1.0
132000,5,1886.7664176344872,464.5242974269036,1475.650338113308,2503.1667541861534,0.32,0.4604345773288535,0.0,1.0
138000,5,1891.2640491724014,461.58939112801016,1476.4792254567146,2620.784715950489,0.24,0.433589667773576,0.0,1.0
144000,5,1910.8028551220893,609.5473542391175,1332.5505558252335,2684.140208363533,0.48,0.5019960159204453,0.0,1.0
