step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,123,375.20819115638733,109.84776674429027,4,353.49127316474915,0.0
12000,123,670.6453683376312,36221.25719916311,4,405.2721725702286,0.0
18000,123,1310.3165400028229,2895.132838911592,4,1024.747706413269,0.0
24000,123,1481.2276533842087,464.5208486764546,4,1281.5079882144928,0.0
30000,123,1394.7216151356697,1757.1997715345735,4,1336.0846483707428,0.0
36000,123,1434.1741508245468,1416.9823713135677,4,1264.5907323360443,0.0
42000,123,1422.6568377017975,379.95837450324075,4,1255.0291891098022,0.0
48000,123,1398.6406782865524,170.14532750213638,4,1346.0206632614136,0.0
54000,123,1405.3807929754257,6818.690397174138,4,1215.046028137207,0.0
60000,123,1381.0361271500587,2399.172733930372,4,1181.8139479160309,0.0
66000,123,1459.4875458478928,2127.3649752540096,4,1324.6271493434906,0.0
72000,123,1438.1130869984627,1376.3041857943583,4,1379.4216060638428,0.0
78000,123,1382.3711188435555,5414.175483019041,4,1271.3958072662354,0.0
84000,123,1204.6231662034988,29670.303738292583,4,903.6564335823059,0.0
90000,123,1431.3365387320518,4791.055099648184,4,1312.6362073421478,0.0
96000,123,1494.1043918728828,592.3569003504152,4,1258.5279657840729,0.0
102000,123,1354.4419792294502,345.2815024012187,4,1324.9549889564514,0.0
108000,123,1421.3721710443497,2314.913389630801,4,1352.0468006134033,0.0
114000,123,1474.6778137087822,104.24123727339816,4,1457.9560286998749,0.0
120000,123,1506.4382180571556,1177.5205823655103,4,1444.189905166626,0.0
126000,123,1485.0701251029968,2772.331721847602,4,1409.1652953624725,0.0
132000,123,1417.3011041879654,4197.5817649216615,4,1332.5607206821442,0.0
138000,123,1481.2906849384308,1338.1883498861446,4,1449.1482064723969,0.0
144000,123,1481.7999123334885,1122.1145714188362,4,1451.8570938110352,0.0
