step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,456,121.93347052931786,1028.9465772698638,5,0.0
12000,456,143.5062567472458,3188.483736677031,5,0.4
18000,456,156.5080944955349,853.0058884032305,5,0.0
24000,456,182.4818275809288,4883.954391602251,5,0.0
30000,456,168.01770055294037,28.550136519312808,5,0.0
36000,456,167.13939918279647,150.8279034708581,5,0.0
42000,456,155.62732225060464,502.01242259990227,5,0.0
48000,456,152.41050959825515,438.31332215219606,5,0.0
54000,456,176.53152272701263,2079.0885967020154,5,0.0
60000,456,349.0123001933098,103210.9756482016,5,0.2
66000,456,292.92674150466917,69755.63719971062,5,0.2
72000,456,352.19958209991455,64957.327951605184,5,0.2
78000,456,363.9315323114395,84967.23727169863,5,0.4
84000,456,197.82999009490013,38878.78198449285,5,0.2
90000,456,480.73084435462954,136661.56868016266,5,0.4
96000,456,316.48976414203645,45227.892605962814,5,0.0
102000,456,429.42587315440176,424234.8280977976,5,0.2
108000,456,125.5607273042202,364.59766151984013,5,0.0
114000,456,376.56711707115176,232655.99691071094,5,0.2
120000,456,557.8208119750022,877400.8030855677,5,0.2
126000,456,812.4964401006698,236998.2066217225,5,0.6000000000000001
132000,456,383.0771819829941,250786.77980983365,5,0.2
138000,456,454.8092109084129,221912.20016113037,5,0.2
144000,456,512.4274144053459,702123.9039856826,5,0.2
