step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,456,424.8898259162903,3639.4858210116763,5,0.0
12000,456,292.92081501483915,209.61782236579913,5,0.0
18000,456,800.8248495578766,6595.349743640112,5,0.0
24000,456,1287.7869844913482,1278.9177636527616,5,0.0
30000,456,1242.686287498474,6825.938030722244,5,0.0
36000,456,1341.3038970947266,2516.963879258442,5,0.0
42000,456,1374.6817709445954,7058.924542650388,5,0.0
48000,456,1248.7020852088929,32341.99473855922,5,0.0
54000,456,1210.8365604400635,35864.9918018263,5,0.0
60000,456,1261.870191669464,27766.038945348973,5,0.0
66000,456,1376.8761007785797,4262.691029638116,5,0.0
72000,456,1429.8454035758973,1235.8471002822234,5,0.0
78000,456,1461.844789981842,1079.8211858060163,5,0.0
84000,456,1426.3458135604858,2313.8464840610345,5,0.0
90000,456,1431.7269302845002,3624.6617978639124,5,0.0
96000,456,1405.0029334545136,7792.852736268571,5,0.0
102000,456,1444.9320914268494,586.5047865309896,5,0.0
108000,456,1422.9141250133514,15475.869865461724,5,0.0
114000,456,1438.7336438179016,1135.188892626183,5,0.0
120000,456,1466.3934366226197,1721.938794604109,5,0.0
126000,456,1422.000065279007,4033.804575070317,5,0.0
132000,456,1444.7499792099,827.5210094052555,5,0.0
138000,456,1394.7590867996216,4120.104985154426,5,0.0
144000,456,1504.062823677063,1581.0880598784497,5,0.0
