step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,420.93105281591414,157.52014785740852,279.4984779059887,682.0150604844093,0.0,0.0,0.0,0.0
12000,5,741.5491488575935,427.22610845061183,297.1008551418781,1278.4292695522308,0.0,0.0,0.0,0.0
18000,5,1243.85281945467,244.5716455606287,820.5549981594086,1419.312991797924,0.0,0.0,0.0,0.0
24000,5,1364.7331262350083,50.919339573785756,1297.7003878951073,1423.8427968621254,0.0,0.0,0.0,0.0
30000,5,1328.1483929634094,198.96814626896244,1051.1492182016373,1532.759004831314,0.0,0.0,0.0,0.0
36000,5,1372.5586506485938,193.8167591503634,1180.2778305411339,1697.3382472395897,0.0,0.0,0.0,0.0
42000,5,1439.5137788891793,73.1102980283726,1328.1993485689163,1518.4002596139908,0.0,0.0,0.0,0.0
48000,5,1288.6580451488494,408.3193771574136,577.9561461210251,1572.4238252043724,0.0,0.0,0.0,0.0
54000,5,1446.018471956253,111.80132295228216,1269.657636165619,1565.6574661135674,0.04,0.08944271909999159,0.0,0.2
60000,5,1482.949704194069,134.18189064367755,1305.3484296798706,1672.5269448161125,0.0,0.0,0.0,0.0
66000,5,1456.275582933426,52.824428904949286,1402.4834594726562,1543.166622042656,0.0,0.0,0.0,0.0
72000,5,1537.2744080781936,142.06598933018185,1428.404890537262,1764.9042047262192,0.08,0.17888543819998318,0.0,0.4
78000,5,1615.4682787775994,293.72845928496236,1434.177687048912,2126.8972811698914,0.2,0.3464101615137755,0.0,0.8
84000,5,1708.2200535655022,289.86204437152827,1441.790342450142,2136.0953080654144,0.27999999999999997,0.3346640106136302,0.0,0.8
90000,5,1816.2525987625122,395.20403063480785,1451.9624296426773,2394.7679756879807,0.32,0.363318042491699,0.0,0.8
96000,5,1853.256611573696,439.6349806882591,1424.7689893841743,2452.546885073185,0.32,0.46043457732885357,0.0,1.0
102000,5,1914.3609281539916,410.3610930806854,1455.330463886261,2279.137257695198,0.36,0.4979959839195493,0.0,1.0
108000,5,1831.261220574379,476.2386544465728,1478.3429626822472,2394.263858139515,0.08,0.10954451150103324,0.0,0.2
114000,5,1877.882385981083,497.913414038098,1429.1422336101532,2491.6704432964325,0.16,0.260768096208106,0.0,0.6000000000000001
120000,5,1815.2606909275055,529.4565604488074,1402.5909752249718,2542.980704367161,0.24,0.433589667773576,0.0,1.0
126000,5,1961.4165809869767,462.5426855450134,1444.42195469141,2346.9129453897476,0.44000000000000006,0.40987803063838396,0.0,0.8
132000,5,1665.0049946904182,868.5772738065998,434.0656177997589,2655.6247029304504,0.36,0.4979959839195493,0.0,1.0
138000,5,1757.4238443017007,375.04863935588185,1407.8747780323029,2323.5830466151237,0.32,0.4147288270665544,0.0,1.0
144000,5,1832.4785547614097,612.0904654058364,1201.4717648625374,2654.938647568226,0.32,0.46043457732885357,0.0,1.0
