step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,408.173382730484,120.26353579384694,264.70009593963624,562.1329121112824,0.0,0.0,0.0,0.0
12000,5,481.1205393838883,351.0754017712564,214.50371558666228,1016.350558423996,0.0,0.0,0.0,0.0
18000,5,936.7487341070175,246.71040639845455,667.2545367002488,1291.787927865982,0.0,0.0,0.0,0.0
24000,5,1356.0700983810425,122.91095401627018,1156.5285013675689,1460.7894087314605,0.0,0.0,0.0,0.0
30000,5,1348.4330321598052,134.28152681782566,1196.9808809757233,1519.517611694336,0.0,0.0,0.0,0.0
36000,5,1394.0031975078582,155.49097947373946,1173.8515232086181,1553.7516914367675,0.0,0.0,0.0,0.0
42000,5,1383.7758791732788,127.64356835233419,1180.1854468345641,1477.377540063858,0.0,0.0,0.0,0.0
48000,5,1363.8814140796662,149.05950496092063,1151.3497333049775,1522.7831707000732,0.0,0.0,0.0,0.0
54000,5,1411.8000295257568,68.43474826929784,1304.4459223747253,1475.5335721492768,0.0,0.0,0.0,0.0
60000,5,1392.6450444126128,69.77294594495146,1271.961150789261,1438.9421318054199,0.0,0.0,0.0,0.0
66000,5,1423.3505609703063,29.371754886909994,1374.3152541160584,1448.252421283722,0.0,0.0,0.0,0.0
72000,5,1355.9219430637356,113.08168946630887,1230.004658985138,1483.6187215805053,0.0,0.0,0.0,0.0
78000,5,1437.4282981204985,94.00062094046777,1278.0685053825378,1521.9631258487702,0.0,0.0,0.0,0.0
84000,5,1346.3057760334013,287.84034614252647,834.4368983268738,1517.577722120285,0.0,0.0,0.0,0.0
90000,5,1422.8520875930785,118.18664705681773,1229.7770454406739,1532.6053945541382,0.0,0.0,0.0,0.0
96000,5,1349.881331548691,283.1542952831955,870.886505317688,1583.5157112121583,0.0,0.0,0.0,0.0
102000,5,1485.9961728858948,75.92496734275078,1389.5927717208863,1563.631539964676,0.0,0.0,0.0,0.0
108000,5,1465.5050625133513,168.75326948477027,1225.4639451503754,1689.2786801815032,0.0,0.0,0.0,0.0
114000,5,1429.433391017914,96.5336915924741,1274.0596117019654,1529.2971348762512,0.0,0.0,0.0,0.0
120000,5,1458.0037012767793,244.5050372831469,1142.4197528362274,1810.4867178916932,0.12000000000000002,0.2683281572999748,0.0,0.6000000000000001
126000,5,1684.4756244564057,347.51173555240103,1319.8786470413208,2217.8693339347838,0.24000000000000005,0.32863353450309973,0.0,0.6000000000000001
132000,5,1549.7154258728028,149.83880239698894,1444.3250284671783,1812.3432464122773,0.08,0.10954451150103323,0.0,0.2
138000,5,1393.965181865692,301.4988228764145,902.9100858688355,1707.7399718284607,0.12000000000000002,0.2683281572999748,0.0,0.6000000000000001
144000,5,1640.3524240016936,353.27884184621405,1463.1736202716827,2271.7845307826997,0.08,0.17888543819998318,0.0,0.4
