step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,361.33754679203037,36.93696317585212,311.71157054901124,410.8672472953796,0.0,0.0,0.0,0.0
12000,5,900.5714160156249,200.4547295822781,671.3699320793152,1131.6891502857209,0.0,0.0,0.0,0.0
18000,5,1325.6174898052218,182.53578025311973,1015.7843602657318,1485.3880708694458,0.0,0.0,0.0,0.0
24000,5,1423.9374043846128,70.4168304031883,1320.616745328903,1515.3070468902588,0.0,0.0,0.0,0.0
30000,5,1251.720600323677,162.20885225089518,1043.5455184459686,1473.880583524704,0.0,0.0,0.0,0.0
36000,5,1385.8118432331084,148.11082068850683,1131.3762528896332,1482.3755666732789,0.0,0.0,0.0,0.0
42000,5,1461.8859598255156,121.70742582099314,1271.0497555732727,1582.3490316390992,0.0,0.0,0.0,0.0
48000,5,1355.9550235557558,150.4738874221595,1128.3672759056092,1503.7542700767517,0.0,0.0,0.0,0.0
54000,5,1459.7788937950133,90.1057440629352,1375.9017032623292,1612.5756754875183,0.0,0.0,0.0,0.0
60000,5,1518.5337104797363,123.86565569955589,1395.7015471458435,1697.5461241722107,0.0,0.0,0.0,0.0
66000,5,1465.0955455875396,145.47513874883458,1261.626457452774,1641.5387434482575,0.0,0.0,0.0,0.0
72000,5,1528.2587652969362,63.478316717776615,1473.3842512130736,1635.6371933460237,0.0,0.0,0.0,0.0
78000,5,1507.919101276398,149.94807810432144,1409.501001882553,1770.0382413864136,0.04,0.08944271909999159,0.0,0.2
84000,5,1515.4686009120942,152.22056338078133,1318.5175590515137,1743.9924057960511,0.08,0.17888543819998318,0.0,0.4
90000,5,1509.1876228332517,589.6884487412112,646.2980359554291,2299.2349225997923,0.2,0.44721359549995804,0.0,1.0
96000,5,1648.302299118042,291.44623744433466,1403.1507326602937,2147.027302455902,0.36,0.4979959839195493,0.0,1.0
102000,5,1672.4889003086093,262.9643080615727,1364.3237138748168,1953.7112320423125,0.4,0.5477225575051662,0.0,1.0
108000,5,1753.7612312412261,359.9369067179314,1423.7402173042296,2224.0662092208863,0.4,0.5477225575051662,0.0,1.0
114000,5,1851.9370151805877,427.41863397495683,1508.4895372867584,2328.7997094154357,0.24,0.433589667773576,0.0,1.0
120000,5,1750.6739333724975,427.1487884898317,1428.3302369594574,2491.9833871364594,0.32,0.46043457732885357,0.0,1.0
126000,5,1793.5080221176147,423.4015832275497,1457.871558380127,2332.175034856796,0.36,0.4979959839195493,0.0,1.0
126300,1,2388.4503777980804,0.0,2388.4503777980804,2388.4503777980804,1.0,0.0,1.0,1.0
132000,5,1823.602806301117,430.419526209296,1480.0020834445954,2457.768273496628,0.32,0.46043457732885357,0.0,1.0
138000,5,1817.7895347309113,433.93748210286543,1455.97256360054,2296.108151817322,0.27999999999999997,0.4381780460041329,0.0,1.0
144000,5,1905.665745601654,494.36153474687535,1383.6032033920287,2515.3572285175323,0.48,0.5019960159204453,0.0,1.0
