step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,456,217.49898293614388,485.78995735432983,4,90.96560278534889,0.0
12000,456,205.8546096086502,91.37209013509515,4,185.94627058506012,0.0
18000,456,98.39524397230707,1912.8841493849668,4,43.67201459174976,0.0
24000,456,2111.7283356562257,158684.06212903812,4,888.9093577861786,1.0
30000,456,2353.9755976498127,37211.43090896414,4,1576.3736609220505,1.0
36000,456,2455.149006485939,22356.397802383814,4,2035.3928966522217,1.0
42000,456,1659.941386334598,76094.34017021583,4,1276.1957030296326,0.8
48000,456,2479.99816198647,3568.389766329217,4,2328.116696357727,1.0
54000,456,2505.2797827869654,59.64260292200381,4,1372.7060593366623,1.0
60000,456,2321.338738322258,1967.1909568310632,4,2177.4973167181015,1.0
66000,456,2403.935935482383,1045.406512955032,4,2352.6848762631416,1.0
72000,456,2441.9663979411125,351.3934904769383,4,2339.7022240161896,1.0
78000,456,2596.9737119674683,706.1900613580377,4,2432.04949387908,1.0
84000,456,2453.9719896018505,2028.7603415715287,4,2404.7399682998657,1.0
90000,456,2522.6300255209208,794.1392930320595,4,2471.874405503273,1.0
96000,456,2438.969767808914,7445.888044284267,4,2277.780788719654,1.0
102000,456,2384.737909242511,2349.984712153746,4,2145.2384272813797,1.0
108000,456,2527.439001992345,2448.1864562867563,4,2291.1451957821846,1.0
114000,456,2541.8754662126303,206.2539133865463,4,2497.501469373703,1.0
120000,456,2429.0009686797857,2803.4794874958225,4,2352.9081497192383,1.0
126000,456,2436.501175761223,4859.940936877446,4,2317.8715195655823,1.0
132000,456,2224.3835599273443,84944.65457585886,4,1183.8540580272675,1.0
138000,456,2512.5026587694883,8085.6661195286,4,2351.550288438797,1.0
144000,456,2489.601433724165,3620.5502527608974,4,2385.2422927618027,1.0
