step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,456,424.8898259162903,3639.4858210116763,5,0.0
12000,456,332.1483364582062,3016.899139290111,5,0.0
18000,456,918.2586125850678,20252.78999049822,5,0.0
24000,456,1158.5816132545472,7653.192200368911,5,0.0
30000,456,1133.0738654136658,51713.43805832916,5,0.0
36000,456,1110.4063145160676,20683.958566247107,5,0.0
42000,456,1245.6629830360412,10294.906308021124,5,0.0
48000,456,1282.3823756694794,16185.101258839619,5,0.0
54000,456,1402.6871882438659,3639.960311600106,5,0.0
60000,456,1350.5270780086516,801.217919289956,5,0.0
66000,456,1428.2929052352906,1067.0046247289326,5,0.0
72000,456,1370.1485265731812,5441.054171352345,5,0.0
78000,456,1452.324144077301,1632.8328846489117,5,0.0
84000,456,1381.9250261306763,590.1467710209056,5,0.0
90000,456,1332.5129028320312,6389.861236594704,5,0.0
96000,456,1345.9060426712035,1300.3472215862653,5,0.0
102000,456,1224.7735998153687,2640.6673777865685,5,0.0
108000,456,1356.6131335258483,2416.232800326007,5,0.0
114000,456,1463.1757337093354,4445.633865317954,5,0.0
120000,456,1419.6598107814789,2193.6962224467648,5,0.0
126000,456,1453.560529088974,1334.7470241935562,5,0.0
132000,456,1405.2131894111633,711.7323131191432,5,0.0
138000,456,1465.933412027359,1391.492040963405,5,0.0
144000,456,1387.7454382896424,2032.7793401796562,5,0.0
