step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,153.0808492064476,2382.236585107534,5,0.0
12000,789,240.36957881450653,38.15835672131303,5,0.0
18000,789,255.6965095639229,51.27893580881328,5,0.0
24000,789,246.8066858291626,268.31743943638503,5,0.0
30000,789,326.6234736740589,42658.55454756373,5,0.2
36000,789,513.1828149922192,163323.98347266708,5,0.6000000000000001
42000,789,1283.6232090711594,578703.8450409276,5,1.0
48000,789,825.9502621173858,370675.2080351567,5,0.2
54000,789,2180.8888297796248,459985.5208551964,5,1.0
60000,789,1366.3260122939944,536358.6476263588,5,1.0
66000,789,2157.1079274237154,146056.60060277075,5,1.0
72000,789,2567.7301700115204,1288.999353874066,5,1.0
78000,789,2374.4214722156526,210816.4832394632,5,1.0
84000,789,2372.3035542488096,191874.0440107749,5,1.0
90000,789,2278.0516914129257,477039.3476782718,5,1.0
96000,789,2480.8996727347376,25023.85254643918,5,1.0
102000,789,2522.955306482315,9251.542363603776,5,1.0
108000,789,2424.2957207918166,60008.757478984604,5,1.0
114000,789,2441.9032731771467,14905.164726938727,5,1.0
120000,789,2583.899594759941,1004.5124591793048,5,1.0
126000,789,2586.6968958735465,615.4042832168972,5,1.0
132000,789,2559.794149386883,1485.992456682467,5,1.0
138000,789,2343.1052683234216,169905.88531098055,5,1.0
144000,789,2565.2635137438774,4520.681889272465,5,1.0
