step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,371.917677412033,55.142829111924996,305.3353736162186,419.7065799713135,0.0,0.0,0.0,0.0
12000,5,682.7152704763412,366.18869808865054,230.69331254959107,1239.331516122818,0.0,0.0,0.0,0.0
18000,5,979.3137437963485,444.60295154254857,459.4358990907669,1366.8496304035186,0.0,0.0,0.0,0.0
24000,5,1350.5884500312807,110.62838971193116,1264.2727808952332,1516.1832971572876,0.04,0.08944271909999159,0.0,0.2
30000,5,1258.627382955551,150.4524845247489,1106.1761488437653,1426.7321150302887,0.0,0.0,0.0,0.0
36000,5,1425.7979247093201,153.54590852917065,1152.8178795814515,1516.374413728714,0.0,0.0,0.0,0.0
42000,5,1418.316803293228,61.5481648798681,1346.1282715797424,1477.984857940674,0.0,0.0,0.0,0.0
46800,1,125.08381301760673,0.0,125.08381301760673,125.08381301760673,0.0,0.0,0.0,0.0
48000,5,1470.1382106304168,47.92882982252888,1400.3921724796296,1508.620194530487,0.0,0.0,0.0,0.0
54000,5,1437.236923084259,88.36294385301956,1321.5279304504395,1562.1448482990265,0.0,0.0,0.0,0.0
60000,5,1474.7831960487365,27.343815069871116,1440.1720239162446,1501.9947973251342,0.0,0.0,0.0,0.0
66000,5,1472.695422964096,133.30419336701692,1247.2233846187592,1595.8810407161714,0.0,0.0,0.0,0.0
72000,5,1481.9215313434602,142.9057579954142,1246.2331465244292,1603.8300765991212,0.0,0.0,0.0,0.0
78000,5,1488.5844212341308,114.2495304317526,1327.471289396286,1593.790115070343,0.0,0.0,0.0,0.0
84000,5,1510.0877907466888,90.78809467571543,1381.1743411540986,1635.2244859218597,0.0,0.0,0.0,0.0
90000,5,1487.1085861301422,121.1271545731709,1324.8278310775756,1615.2036442279816,0.0,0.0,0.0,0.0
96000,5,1450.7963221645355,182.3038742883858,1258.176354265213,1663.1890284061433,0.0,0.0,0.0,0.0
102000,5,1534.4024904441833,81.34132561065776,1453.7421699047088,1666.7005258083343,0.0,0.0,0.0,0.0
108000,5,1380.9495213890077,351.04730212432787,775.0393802642823,1683.9949194431306,0.0,0.0,0.0,0.0
114000,5,1725.8035884857177,288.26372421046347,1508.0221543312073,2110.008461046219,0.16,0.260768096208106,0.0,0.6000000000000001
120000,5,1747.1220963287353,334.57445687912036,1494.2085237026215,2253.3397161483763,0.32,0.4604345773288535,0.0,1.0
126000,5,1737.488496351242,364.39655134695084,1468.5533057689668,2304.182876062393,0.32,0.4604345773288535,0.0,1.0
132000,5,1892.4257979774477,525.6469479500902,1497.6674264430999,2515.0159090042116,0.4,0.5477225575051662,0.0,1.0
138000,5,1824.0566601467133,465.88871067006465,1483.557805299759,2534.9351709365847,0.2,0.447213595499958,0.0,1.0
144000,5,1721.7063696002963,461.2128030502447,1476.5763231277465,2544.894672393799,0.36,0.4979959839195493,0.0,1.0
