step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,2024,308.0083406865597,275.30539053934314,4,294.6435053348541,0.0
12000,2024,804.684099137783,33731.27163502785,4,362.2026207447052,0.0
18000,2024,1368.2173155546188,5956.943612664575,4,794.3219132423401,0.0
24000,2024,1460.5382498502731,14078.766048963751,4,1221.1193323135376,0.0
30000,2024,1244.7845808267593,88847.68677911001,4,790.0667970180511,0.0
36000,2024,1500.6048093438148,4777.782730633892,4,1340.373107433319,0.0
42000,2024,1496.097722530365,4634.2403285783075,4,1405.5333995819092,0.0
48000,2024,1440.9356727004051,2171.5684065275486,4,1238.218171596527,0.0
54000,2024,1462.0968260765076,12468.892040529905,4,759.252347946167,0.0
60000,2024,1525.931185722351,7486.10911174088,4,1406.249243736267,0.0
66000,2024,1645.5777065753937,181.56287709010155,4,1397.0943772792816,0.0
72000,2024,1654.1224784255028,12412.438675018659,4,1402.6604692935944,0.0
78000,2024,1636.0069974660873,14621.192330859572,4,1424.9225854873657,0.0
84000,2024,1666.2183119654655,129.97500769428373,4,1511.2491817474365,0.0
90000,2024,1630.6302303671837,6448.089717139771,4,1553.497299671173,0.0
96000,2024,1685.0485340952873,296.7862849502102,4,1575.7510056495667,0.0
102000,2024,1671.5787008404732,270.99234995311105,4,1647.187825679779,0.0
108000,2024,1720.5729088187218,67929.40896957707,4,1537.6829619407654,0.0
114000,2024,2205.1681630015373,66698.80470170036,4,1729.369653224945,0.6000000000000001
120000,2024,2144.898500084877,59055.417482648656,4,1060.9483172893524,0.6000000000000001
126000,2024,2140.444340765476,218336.16659968672,4,968.2031333446503,0.6000000000000001
132000,2024,2433.58263617754,2286.7652303586433,4,2360.3003585338593,1.0
138000,2024,2174.793740272522,404.7618879719461,4,1634.4027650356293,0.0
144000,2024,1689.3059949874878,80955.15686783906,4,976.6167750358582,0.8
