step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,123,375.20816934108734,109.84769624491408,4,353.49126386642456,0.0
12000,123,734.7297281622887,22555.62857124725,4,417.93074774742126,0.0
18000,123,1400.2788300514221,3123.144371335436,4,1312.1654024124146,0.0
24000,123,1474.88407433033,5355.666277967061,4,1320.8621077537537,0.0
30000,123,1278.0582609772682,16220.288106753536,4,1044.7274034023285,0.0
36000,123,1496.0929770469666,5438.266916567655,4,1330.1228370666504,0.0
42000,123,1481.1200547218323,7655.120218173449,4,1217.4077486991882,0.0
48000,123,1351.491208076477,858.0614209374995,4,1253.934897661209,0.0
54000,123,1468.4372587800026,99.27219654845483,4,1363.0541005134583,0.0
60000,123,1433.5962069034576,5239.228130703936,4,1320.9140737056732,0.0
66000,123,1496.1488308310509,1622.0507015158328,4,1338.9880864620209,0.0
72000,123,1485.809055864811,356.30230337475217,4,1423.6850326061249,0.0
78000,123,1481.5491133332253,2330.60672008857,4,1153.749356508255,0.0
84000,123,1337.8673137426376,8414.182078284693,4,1241.1185402870178,0.0
90000,123,1518.0680720806122,881.3434711486244,4,1439.2622129917145,0.0
96000,123,1439.9247707724571,16060.804183375454,4,1256.0545802116394,0.0
102000,123,1404.8108343482018,9133.219285330675,4,1202.3752319812775,0.0
108000,123,1438.922796189785,1079.7623875804682,4,1363.0099017620087,0.0
114000,123,1514.873902976513,654.544536055643,4,1482.9520745277405,0.0
120000,123,1479.1889190077782,2619.051528684055,4,1224.8955087661743,0.0
126000,123,1522.7660064697266,276.4553390614538,4,1476.6321156024933,0.0
132000,123,1516.5832586884499,1244.3015346143254,4,1333.6773824691772,0.0
138000,123,1495.7528324723244,655.8935073023383,4,1478.256850719452,0.0
144000,123,1409.1742166876793,9479.877123086075,4,1281.3191502094269,0.0
