step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,106.62303082942962,765.7386023370963,5,0.0
12000,789,103.70984717607499,307.8486446371213,5,0.0
18000,789,100.60415560007095,235.50850122355578,5,0.0
24000,789,89.53610414266586,446.6038293532862,5,0.0
30000,789,667.608380830288,842455.5042890452,5,0.6000000000000001
36000,789,166.74796203374862,109.16118694045382,5,0.0
42000,789,167.05091631412506,356.32479208317363,5,0.0
48000,789,136.8022723019123,2637.2244945117304,5,0.0
54000,789,479.0266917705536,224919.01212082928,5,0.4
60000,789,510.060548210144,221860.08500717988,5,0.2
66000,789,832.3291658639907,320922.3268537384,5,0.6000000000000001
72000,789,1395.436529636383,1381796.5568670358,5,0.6000000000000001
78000,789,1102.4983729481696,326164.8503211206,5,0.8
84000,789,1294.1869586706161,774288.4890864168,5,0.6000000000000001
90000,789,1743.394231915474,944299.1753751372,5,0.6000000000000001
96000,789,997.260185945034,1104741.6933614616,5,0.6000000000000001
102000,789,1550.0309833526612,372689.6553480722,5,1.0
108000,789,399.45591802597045,319605.20161575964,5,0.2
114000,789,1220.170809406042,1061885.0342936758,5,0.4
120000,789,2132.193336677551,369034.891300785,5,1.0
126000,789,2140.873696422577,69365.89583203403,5,1.0
132000,789,1952.8666021227837,990682.2168787264,5,0.8
138000,789,1601.3668419122696,727494.9404188093,5,0.6000000000000001
144000,789,1997.0355432987212,158314.26406623938,5,0.8
