step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,421.8904845476151,131.1207261122322,267.6693557500839,580.3162221908569,0.0,0.0,0.0,0.0
12000,5,509.64562491178515,399.21307599192517,214.67224976420403,1137.2482573986053,0.0,0.0,0.0,0.0
18000,5,997.2652965426445,255.32333934531624,759.1535032391548,1404.6664457917213,0.0,0.0,0.0,0.0
24000,5,1378.5406305670738,114.39717912693612,1199.9921890497208,1477.9482613801956,0.0,0.0,0.0,0.0
30000,5,1376.925169289112,122.8023665387595,1249.2845638394356,1522.6828789710999,0.0,0.0,0.0,0.0
36000,5,1411.2726294994354,149.61727755404002,1211.834649503231,1579.53429967165,0.0,0.0,0.0,0.0
42000,5,1404.9843070864677,112.78537878944907,1228.5105014443398,1495.9736508131027,0.0,0.0,0.0,0.0
48000,5,1385.6898999810219,134.73929415970616,1175.4095420241356,1524.398101389408,0.0,0.0,0.0,0.0
54000,5,1447.8015180587768,72.82629715865814,1321.4805589318275,1506.9479475617409,0.0,0.0,0.0,0.0
60000,5,1417.1907663583756,70.15184750074286,1300.5683195590973,1476.044282257557,0.0,0.0,0.0,0.0
66000,5,1453.662287223339,45.565748228832206,1381.6339014172554,1495.8323789834976,0.0,0.0,0.0,0.0
72000,5,1410.2166469097137,98.03029740890977,1277.8816930055618,1538.5473304986954,0.0,0.0,0.0,0.0
78000,5,1475.8595750570298,70.9879799351391,1364.8920604586601,1535.3617643117905,0.0,0.0,0.0,0.0
84000,5,1380.5496341228486,275.0039955670985,891.4600469470024,1532.2721251249313,0.0,0.0,0.0,0.0
90000,5,1463.588502383232,106.48586235219165,1286.8600466251373,1538.254682958126,0.0,0.0,0.0,0.0
96000,5,1389.2822739958763,289.18071410335193,894.1637387871742,1638.3762363791466,0.0,0.0,0.0,0.0
102000,5,1523.1740845561028,81.64520853329451,1433.8499393463135,1630.6056483983994,0.0,0.0,0.0,0.0
108000,5,1484.6309398293495,175.24069245080494,1246.786443054676,1728.3408682346344,0.0,0.0,0.0,0.0
114000,5,1443.7394438266754,79.53819239863176,1322.7387800216675,1534.5560458898544,0.0,0.0,0.0,0.0
120000,5,1510.8425186157226,249.87893542146173,1238.2636613845825,1911.6669574975967,0.12000000000000002,0.2683281572999748,0.0,0.6000000000000001
126000,5,1730.8477901220322,385.734286886112,1353.1721875667572,2321.91348028183,0.24000000000000005,0.32863353450309973,0.0,0.6000000000000001
132000,5,1601.2123532295227,230.01758029931713,1464.802969455719,2010.6767045259476,0.08,0.10954451150103323,0.0,0.2
138000,5,1438.536496591568,274.01833782169945,993.733427464962,1739.3798025846481,0.12000000000000002,0.2683281572999748,0.0,0.6000000000000001
144000,5,1671.488372886181,373.86723693224747,1472.2679169774055,2339.205576479435,0.08,0.17888543819998318,0.0,0.4
