step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,420.93105281591414,157.52014785740852,279.4984779059887,682.0150604844093,0.0,0.0,0.0,0.0
12000,5,779.6437664210796,485.09128472190685,240.85013261437416,1383.372333407402,0.0,0.0,0.0,0.0
18000,5,1182.082368683815,213.48848151928917,959.7101275920868,1430.5875201821327,0.0,0.0,0.0,0.0
24000,5,1444.8220674872398,224.64633148087188,1180.5190414786339,1783.956040084362,0.2,0.44721359549995804,0.0,1.0
30000,5,1404.551887488365,258.43525328155476,1209.8022597432137,1844.5407635569572,0.08,0.17888543819998318,0.0,0.4
36000,5,1545.4415966510774,402.07862286969487,1132.356604874134,2202.528002977371,0.2,0.44721359549995804,0.0,1.0
42000,5,1618.8878168582917,416.0930321333585,1278.2651289105415,2342.432955145836,0.2,0.44721359549995804,0.0,1.0
48000,5,1592.0905848026275,218.8701057815162,1307.1786723136902,1915.887655198574,0.2,0.44721359549995804,0.0,1.0
54000,5,1667.8529561042785,336.42773778350676,1426.5141213536263,2258.1410433650017,0.2,0.44721359549995804,0.0,1.0
60000,5,1486.4465690970421,173.5500017672915,1322.3409846425056,1762.0879773497581,0.12000000000000002,0.26832815729997483,0.0,0.6000000000000001
66000,5,1707.0198169112205,433.76888709989174,1436.0825418829918,2477.0595911741257,0.2,0.44721359549995804,0.0,1.0
72000,5,1693.411885046959,401.7585422843011,1398.7418985962868,2399.525805413723,0.2,0.44721359549995804,0.0,1.0
78000,5,1761.529930114746,447.84942607956026,1469.991603910923,2549.321650147438,0.2,0.44721359549995804,0.0,1.0
84000,5,1740.1912077903748,458.68996700915693,1390.1705594658852,2542.8396102786064,0.2,0.44721359549995804,0.0,1.0
90000,5,1660.1330265045167,418.5206103785463,1348.486813545227,2366.312391638756,0.2,0.44721359549995804,0.0,1.0
96000,5,1709.6867476463317,441.6944233310362,1355.6227060556412,2454.0131497979164,0.2,0.44721359549995804,0.0,1.0
102000,5,1672.669279396534,503.0079529104306,1247.197464644909,2543.4766870737076,0.2,0.44721359549995804,0.0,1.0
108000,5,1667.8011340498924,381.14023159397834,1376.5133255124092,2296.7324627637863,0.2,0.44721359549995804,0.0,1.0
114000,5,1826.895550096035,491.6148484257762,1488.1647456884384,2617.335524022579,0.2,0.44721359549995804,0.0,1.0
120000,5,1893.1037931799888,529.2368153790884,1438.9930032491684,2598.0863103866577,0.4,0.5477225575051662,0.0,1.0
126000,5,1861.3717015624047,610.9428308397286,1273.2588128447533,2610.162760615349,0.4,0.5477225575051662,0.0,1.0
132000,5,1975.5809497237206,636.1064960373709,1413.9382543563843,2707.9135215878487,0.4,0.5477225575051662,0.0,1.0
138000,5,1896.9522093176843,513.1662366429271,1482.4506967067719,2634.7097175717354,0.32,0.46043457732885357,0.0,1.0
144000,5,1945.2778577923775,613.0737271104573,1405.1339382529259,2706.6714531183243,0.36,0.4979959839195493,0.0,1.0
